"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-09 11:29:11.745, [INFO],Still Outside
2023-09-09 11:29:12.308, [INFO],Still Outside
2023-09-09 11:29:12.719, [INFO],Judge Storage:L0,838,0,0,0,0
2023-09-09 11:29:12.870, [INFO],Still Outside
2023-09-09 11:29:13.433, [INFO],Still Outside
2023-09-09 11:29:13.721, [INFO],Judge Storage:L0,843,0,0,0,0
2023-09-09 11:29:13.995, [INFO],Still Outside
2023-09-09 11:29:14.558, [INFO],Still Outside
2023-09-09 11:29:14.724, [INFO],Judge Storage:L0,845,0,0,0,0
2023-09-09 11:29:15.122, [INFO],Still Outside
2023-09-09 11:29:15.685, [INFO],Still Outside
2023-09-09 11:29:15.726, [INFO],Judge Storage:L0,836,0,0,0,0
2023-09-09 11:29:16.247, [INFO],Still Outside
2023-09-09 11:29:16.729, [INFO],Judge Storage:L0,866,0,0,0,0
2023-09-09 11:29:16.810, [INFO],Still Outside
2023-09-09 11:29:17.372, [INFO],Still Outside
2023-09-09 11:29:17.731, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:29:17.935, [INFO],Still Outside
2023-09-09 11:29:18.498, [INFO],Still Outside
2023-09-09 11:29:18.733, [INFO],Judge Storage:L0,863,0,0,0,0
2023-09-09 11:29:19.60 , [INFO],Still Outside
2023-09-09 11:29:19.623, [INFO],Still Outside
2023-09-09 11:29:19.735, [INFO],Judge Storage:L0,861,0,0,0,0
2023-09-09 11:29:20.187, [INFO],Still Outside
2023-09-09 11:29:20.738, [INFO],Judge Storage:L0,859,0,0,0,0
2023-09-09 11:29:20.751, [INFO],Still Outside
2023-09-09 11:29:21.314, [INFO],Still Outside
2023-09-09 11:29:21.740, [INFO],Judge Storage:L0,852,0,0,0,0
2023-09-09 11:29:21.877, [INFO],Still Outside
2023-09-09 11:29:22.440, [INFO],Still Outside
2023-09-09 11:29:22.742, [INFO],Judge Storage:L0,866,0,0,0,0
2023-09-09 11:29:23.4  , [INFO],Still Outside
2023-09-09 11:29:23.567, [INFO],Still Outside
2023-09-09 11:29:23.745, [INFO],Judge Storage:L0,855,0,0,0,0
2023-09-09 11:29:24.130, [INFO],Still Outside
2023-09-09 11:29:24.693, [INFO],Still Outside
2023-09-09 11:29:24.747, [INFO],Judge Storage:L0,839,0,0,0,0
2023-09-09 11:29:25.258, [INFO],Still Outside
2023-09-09 11:29:25.749, [INFO],Judge Storage:L0,856,0,0,0,0
2023-09-09 11:29:25.821, [INFO],Still Outside
2023-09-09 11:29:26.384, [INFO],Still Outside
2023-09-09 11:29:26.752, [INFO],Judge Storage:L0,839,0,0,0,0
2023-09-09 11:29:26.948, [INFO],Still Outside
2023-09-09 11:29:27.511, [INFO],Still Outside
2023-09-09 11:29:27.754, [INFO],Judge Storage:L0,852,0,0,0,0
2023-09-09 11:29:28.75 , [INFO],Still Outside
2023-09-09 11:29:28.637, [INFO],Still Outside
2023-09-09 11:29:28.756, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:29:29.200, [INFO],Still Outside
2023-09-09 11:29:29.759, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:29:29.762, [INFO],Still Outside
2023-09-09 11:29:30.325, [INFO],Still Outside
2023-09-09 11:29:30.763, [INFO],Judge Storage:L0,840,0,0,0,0
2023-09-09 11:29:30.887, [INFO],Still Outside
2023-09-09 11:29:31.449, [INFO],Still Outside
2023-09-09 11:29:31.765, [INFO],Judge Storage:L0,839,0,0,0,0
2023-09-09 11:29:32.12 , [INFO],Still Outside
2023-09-09 11:29:32.574, [INFO],Still Outside
2023-09-09 11:29:32.767, [INFO],Judge Storage:L0,838,0,0,0,0
2023-09-09 11:29:33.137, [INFO],Still Outside
2023-09-09 11:29:33.699, [INFO],Still Outside
2023-09-09 11:29:33.770, [INFO],Judge Storage:L0,837,0,0,0,0
2023-09-09 11:29:34.261, [INFO],Still Outside
2023-09-09 11:29:34.772, [INFO],Judge Storage:L0,836,0,0,0,0
2023-09-09 11:29:34.824, [INFO],Still Outside
2023-09-09 11:29:35.387, [INFO],Still Outside
2023-09-09 11:29:35.776, [INFO],Judge Storage:L0,864,0,0,0,0
2023-09-09 11:29:35.949, [INFO],Still Outside
2023-09-09 11:29:36.512, [INFO],Still Outside
2023-09-09 11:29:36.779, [INFO],Judge Storage:L0,863,0,0,0,0
2023-09-09 11:29:37.74 , [INFO],Still Outside
2023-09-09 11:29:37.637, [INFO],Still Outside
2023-09-09 11:29:37.781, [INFO],Judge Storage:L0,861,0,0,0,0
2023-09-09 11:29:38.199, [INFO],Still Outside
2023-09-09 11:29:38.761, [INFO],Still Outside
2023-09-09 11:29:38.783, [INFO],Judge Storage:L0,860,0,0,0,0
2023-09-09 11:29:39.324, [INFO],Still Outside
2023-09-09 11:29:39.786, [INFO],Judge Storage:L0,844,0,0,0,0
2023-09-09 11:29:39.887, [INFO],Still Outside
2023-09-09 11:29:40.449, [INFO],Still Outside
2023-09-09 11:29:40.790, [INFO],Judge Storage:L0,849,0,0,0,0
2023-09-09 11:29:41.12 , [INFO],Still Outside
2023-09-09 11:29:41.574, [INFO],Still Outside
2023-09-09 11:29:41.793, [INFO],Judge Storage:L0,852,0,0,0,0
